art,t,bpm,g,ln,s
MIMI feat. Hatsune Miku,Ai no Sukima,204,5,3,952409
Reol,No title,200,5,3,320118
MIMI feat. Hatsune Miku,Marshmary,182,5,3,962088
MIMI feat. Hatsune Miku,Mizuoto to Curtain,186,5,3,968171
HO-KAGO TEA TIME,Kira Kira Days,200,3,3,444335
Turbo,PADORU / PADORU,190,10,3,1073074
55x55,MY REZHEM KINOLENTY (feat. Cut The Crap),125,10,12,816264
AKINO from bless4 & CHiCO with HoneyWorks,MIIRO vs. Ai no Scenario,195,3,3,325158
Drop,Granat,180.96,6,5,497769
Will Stetson,Harumachi Clover (Swing Arrangement) [Dictate Edit],170,3,3,842412
Komiya Mao,(can you) understand me?,185,2,3,765169
Aiurabu,Kani*Do-Luck! (TV Size),210,3,3,894883
S3RL,Bass Slut (Original Mix),175,10,2,983911
Yasuda Rei,Passcode 4854 -TV edit-,140,3,3,251391
Unknown Artist,Miniministop Hitoyasumi no Uta[Mokuyoubi]Gakusei no Uta,125,7,3,705423
ViViD,HIKARI (TV Size),210,3,3,1053509
Turbo,PADORU / PADORU,190,10,3,1061287
KANA-BOON,Silhouette,183,3,3,399358
3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),Bye Bye YESTERDAY,180,3,3,480765
Mrs. GREEN APPLE,Inferno (TV Size),185,3,3,999645
Chino(CV.Minase Inori),Shinsaku no Shiawase wa Kochira!,175,3,3,441155
Feint,Vagrant (feat. Veela),175,10,2,354537
DJ Genericname,Dear You,174.11,10,3,43466
Station Earth,Cold Green Eyes ft. Roos Denayer,174,10,2,371128
Tsunamaru,Daidai Genome,135,5,3,221954
toby fox,Last Goodbye,180,2,5,744772
9mm Parabellum Bullet,Inferno,195,3,3,482090
Brad Breeck,Gravity Falls Theme Song,165.8,3,5,527431
Hisui Rika & Hotarubi Kakeru,Natsu no Hi (Short Ver.),138,2,3,41384
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange,140,3,3,352714
Colors*Slash,Colors Power ni Omakasero!,200,3,3,1115477
Aitsuki Nakuru,Monochrome Butterfly,175,4,3,770300
Yamajet feat. Hiura Masako,Sunglow,180,2,3,1193588
Fujijo Seitokai Shikkou-bu,Best FriendS,163,3,3,249939
Meiko,Leave The Lights On (KROT Remix),170,6,2,76623
Icon For Hire,Make a Move (Speed Up Ver.),202.54,4,2,765778
ClariS,Hitorigoto -TV MIX-,165,3,3,596704
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,3,3,921889
Sayuri,Sore wa Chiisana Hikari no Youna (TV Size),144,3,3,1123162
Will Stetson,Despacito ft. R3 Music Box,91,5,10,798007
Shiena Nishizawa,Meaning,190,5,3,443589
Primary,Sweets Weekend,180,5,3,380545
Vickeblanka,Black Rover (TV Size),204,3,3,781509
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,5,3,1280506
Shiena Nishizawa,Meaning,190,5,3,364401
ONE OK ROCK,Bombs away,160,4,2,737128
DECO*27,Ghost Rule,210,4,3,413117
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,3,3,471261
Sayuri,Sore wa Chiisana Hikari no Youna,144,3,3,474376
FELT,In my room,165,10,5,206284
CHiCO with HoneyWorks,color,180,5,3,373114
Komiya Mao,(can you) understand me?,185,2,3,456986
PassCode,Ray,196,3,3,1054931
Seth Everman,"how to create the weeknd's ""blinding lights""",171,10,5,1207609
Nanahira,Tobidase! Sweet Sweet Magic*,180,10,3,42837
SMiLE.dk,Golden Sky,135,2,2,50587
Yuaru,Asu no Yozora Shoukaihan,185,4,3,384772
Oomori Seiko,JUSTadICE (TV Size),185,3,3,950289
Paul K. Joyce feat. Neil Morrissey,Can We Fix It? (TV Size),134,3,2,1061694
nao,Anthem Short Version,138,2,3,390071
Elmo and Cookie Monster,Cookie-Butter-Choco-Cookie,136,7,2,542081
Gom (HoneyWorks),Zen Zen Zense,190,3,3,503141
Avenged Sevenfold,Save Me,190,4,2,594170
Will Stetson,Harumachi Clover (Swing Arrangement),170,3,3,859783
Tanizawa Tomofumi,Sawakaze (TV Size),142,3,3,818349
55x55,MUZYKA NE MUZYKANTA (feat. Snailkick),180,6,12,627629
HO-KAGO TEA TIME,Kira Kira Days (Cut Ver.),200,5,3,1384619
ALiCE'S EMOTiON,Dark Flight Dreamer,189,2,3,185250
HoneyWorks,Akatsuki Zukuyo,154.6,4,3,351280
Tashiro Tomokazu,Koi no Hime Hime Pettanko (Karaoke),179,3,5,938926
SPYAIR,Imagination (TV Size),204,3,3,1171789
Nashimoto Ui,AaAaAaAAaAaAAa,192,4,3,1017271
Agnete Kjolsrud,Get Jinxed,180,2,2,361740
Nogizaka46,Yubi Bouenkyou ~Anime-ban~,180,3,3,623924
DragonForce,Through the Fire and Flames,200,4,2,382400
Colors*Slash,Colors Power ni Omakasero!,200,3,3,758344
Parry Gripp,Guinea Pig Bridge,180,5,2,1004468
Ni-Sokkususu,Blade Dance,187,3,3,372851
RADWIMPS,Zen Zen Zense (movie ver.),190,3,3,513590
